1	[穿越]	[狮子 星座 讲讲 火花]	【当狮子遇上其他星座】	今天来讲讲大狮子跟其他星座的火花。[色]
2	[零食]	[楼层 筛选 获奖 参与 回答]	【美食有"礼"边吃边聊拿福利】	美食只是一人独享多悲伤，一起分享才最欢乐，让我们每周一起聊美食、拿好礼，俗话说的好：有便宜不占【消音中】~~所以话不多说直奔主题！~菩提本无树（Putiisnotatree）明镜亦非台（Mirrorisnotatable）本来无一物（Itisemptyatallhere）何处惹尘埃（Whypm2.5issohigh）~小伙伴们快来回答，春天喝什么茶提神醒脑？（描述详细者获奖几率更高哦）参与形式：在此话题下回复即可参与奖项设置：筛选5名用户，送上50元现金券筛选规则：随机筛选楼层，跟帖总楼层数*0.1楼；跟帖总楼层数*0.4楼；跟帖总楼层数*0.8楼。四舍五入取整，如选中楼层不符合回答标准，顺延至下一楼层，以此类推。活动时间：4月25日10:00--4月27日18:00开奖时间：4月27日18:30公布获奖名单，敬请关注。
3	[纤体]	[跑步 后悔 道理 头脑 适合]	【健康跑步攻略从选对一双跑鞋开始】	许多跑步初学者，头脑一热就买了很贵的跑鞋，虽说贵有贵的道理，但未必适合你，明猩教你如何选一双买完不会后悔的鞋。
4	[街拍]	[楼层 筛选 话题 生活 留住]	【拍出惊喜摄影达人看这里】	时间停不住，皂片来记录，定格每一个美好or逗比的瞬间，留住那一刻精彩or搞xiao的回忆！爱生活爱摄影。每周三约起！圈里有木有喜欢街拍的小伙伴，今天我们来秀街拍皂片，在此话题下秀出你美美的街拍照片~参与形式：在此话题下PO出照片，要体现自己的大神技术哟奖项设置：筛选3名用户，送上30元现金券筛选规则：筛选楼层，在此话题下总楼层数*0.1楼；在此话题下总楼层数*0.4楼；在此话题下总楼层数*0.8楼。四舍五入取整，如选中楼层不符合回答标准，顺延至下一楼层，以此类推。活动时间：4月20日10:00-21日18:00参与有效。开奖时间：4月21日18:30公布获奖名单，敬请关注。
5	[单反]	[饭菜 摄影师 看着 工具 道菜]	【如果男友是摄影师】	随着数码摄影的流行，多了很多专业或业余的摄影师。可能很多人也有幻想，如果我的男友是摄影师就好了，可以每日拍出我最好的一面。但是1比起牵你的手，他们更乐意端着大块头相机。2一次浪漫的约会，看着西沉的夕阳你会想“哇！太美了！”而他们想的却是“反光镜锁定，三脚架，快门1/125，光圈缩至f/8。”3如果你正在外面漫步，恰好经过一些“有趣光线”，他们会让你当众地坐下、站住或摆pose，好让他们拍下来。4你将吃不到新出炉的饭菜，因为他们会花上15分钟的时间，用iPhone手机对同一道菜拍20张照片。5当你认为他们正一心一意注视你的时候，他们实际上在想如何用克隆工具和修补工具“修复”你。6他假装看你，其实正在注意着周围寻找拍摄机会。7他们宁可花1000多美元买一只新镜头，也不愿给你买个手提包。8如果你问他们自己是不是长胖了，他们会说“不用担心，我可以用photoshop‘修复’你。”9昨天帮你随意拍的几张照片能发给你就算你幸运了。10所有东西都要打上水印。网上看的段子，笑死了，不过真是完全对。侵权删。
6	[零食]	[葡萄酒 意大利 产区 观念 采用]	【你不知道的意大利葡萄酒】	意大利这个老牌葡萄酒产国，你一定听说过巴罗洛和巴巴莱斯科两大意大利经典葡萄酒。然而，你可能忽略了一些小产区的美酒。它们虽然低调，但性价比极高。1.潘特莱利亚莫斯卡托意大利一些产区酿造的甜葡萄酒虽然价格实惠，但是容易偏甜，且口味单一。不妨试试南部的西西里岛或者附近其它小岛所产的甜葡萄酒，这些葡萄酒具有很高的性价比。马沙拉酒风格多样，颜色、甜度和陈年潜力也各不相同。此外，当地几款采用泽比波酿造的甜酒也是颇具特色的。2.蓝布鲁斯科蓝布鲁斯科是一种甜红起泡酒，一开始它作为意大利人晚上在外面喝的一款休闲酒，并没有受到重视。后来，时尚潮流以及人们的观念发生了变化，蓝布鲁斯科在意大利葡萄酒地图中占得一席之地。3.西罗酒西罗酒是意大利卡拉布里亚产区非常著名的葡萄酒。卡拉布里亚产区采用的特殊灌木培植方法来种植葡萄藤。
7	[多肉]	[兑换 微信 获奖者 获奖 发送]	【4.29#天天福利DAY#有奖活动话题获奖名单】	获奖名单如图，祝贺以下小伙伴们！所有获奖者均可获得自拍杆一份（奖品以实物为主），前50位获奖者还可获得额外门店好礼一份！没有获奖的小伙伴不要灰心，更多活动每日更新哦~1、请所有获奖者在5月1日14:00之前私信【个人姓名+电话+地址】给“胖不叫胖”（点击左上头像进入圈主个人主页，发送消息即可），奖品将在5个工作日内寄出，请保持手机畅通。注：未在规定时间内发送个人信息的获奖者，将视作自动放弃奖励。2、另请前50位获奖者关注国美+官方微信订阅号（保存下图二维码至手机相册，在微信中打开扫描识别此二维码关注哦），回复【门店领奖】获取线下兑换步骤及注意事项。兑换有效期为自获奖公布起7日内，大家抓紧时间哦~
8	[手串]	[桃核 手链 加工 纤维 发生]	【如何制作桃核手串】	将桃核取出来，但裹在桃核外面的一根根丝状样的纤维很难去掉，要耐着性质用硬刷子刷掉。又化了整整2天的时刻，一篓干干净净的、巨细整整齐齐，那种鼓着肚子圆圆滚滚的桃核摆在面前，真快乐呀。桃核的外形根本类似，桃核上的斑纹也一样，差异不大，真是一母所生的兄弟姐妹。1、阴干，避免太阳晒，以防爆裂，2、找磨刀石磨平附近锋芒，3、用手捏，使之冲突后，桃核油份天然溢出，包浆天然发生，并且常常要把玩，4、开孔、穿线。4个加工进程用了将近2个月时刻，7月-8月，大热天的，就用在加工桃核上，成果我的手上老茧蜕皮了新的老茧又出来，我家先生手被手枪钻弄破，鲜血直流。但痛并快乐着，当10多串手链整整齐齐摆在面前，享用成功的快乐时分真尝到了事在人为的实在意义。手链带着亲情、带着祝愿传递到亲朋好友、兄弟姐妹的时分心里有着说不出的快乐。桃核手链就这么加工好了，虽不是很精美但还像个姿态，赶明儿照张相片挂上，发生了一个主意：真想招领了那棵桃树，下一年持续。
9	[手串]	[珠子 表面 揉搓 手串 地方]	【崖柏手串盘玩包浆方法推荐】	第一步；判断手串是干料还是湿料。如果手串比较干，那么盘起来就很容易。如果手串比较湿，珠子含水分较大，需要先放置在阴凉的地方，慢慢阴干。第二步：使用纯棉手套或者纯棉澡巾揉搓珠子的表面，每天揉搓3个小时左右即可。揉搓的作用，清洁珠子表面，把珠子分泌的油涂抹均匀，方便珠子与空气进行充分的氧化，形成包浆。注意事项：不要用汗手接触珠子表面，也不要沾水、酒等液体。盘玩时间一般要三个月左右。盘完成功后，珠子表面会有一层包浆，非常漂亮。第三步：使用真丝或者鹿皮进行保养。形成包浆后，就可以佩戴了，不过要注意保养，坚持每天使用真丝或者鹿皮进行60分钟保养。保持珠子的清洁和光洁度是非常重要的。第四步：盘的是手串，养的是心性。一个完美的手串包浆，需要经过以下步骤：先布盘，再真丝盘，最后手盘，麂皮保养。
10	[手串]	[珠子 表面 手串 金丝 楠木]	【金丝楠木佛珠盘法具体步骤】	1、要先把珠子表面的脏的物质以及蜡层擦去，用搓澡巾即可，大约每天二三个小时，坚持两天即可。2、再用柔软的棉布盘搓一个星期。如果搓金丝楠木佛珠手串,软布表面会有红色的痕迹，这时你不要慌张，不会影响金丝楠木手串的质量。3、再自然放置一个星期。让珠子自然干燥同时金丝楠木手串很容易被氧化，然后形成一层氧化膜。这点其实可以保护紫檀，防止继续被氧化。氧化过程就是在自然放置时发生的。4、开始用手盘。手的要求是很高的，必须清洁干爽，如果有汗要戴纱布手套。大约一天可以盘30分钟左右，一共大约盘一个星期到两个星期,这时你会发掘一现象，干手盘珠子有一种粘阻感,这说明珠子表面形成了一层薄薄的包浆。5、形成包浆以后，就是包浆的硬化了，大约自然放置一星期即可。6、重复进行4和5的过程，一共经历3个月的时间,这时的珠子就盘好了，你会发现珠子表面有很灵气的光泽，在阳光的照射下，会有反射光。
